No,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Ticket,구매지역,lastname,family#
595,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80,0,0,27042,30,A23,S,27042,,Barkworth,0
22,0,3,"Svensson, Mr. Johan",male,74,0,0,347060,7.775,,S,347060,,Svensson,0
74,0,1,"Artagaveytia, Mr. Ramon",male,71,0,0,PC 17609,49.5042,,C,17609,,Artagaveytia,0
246,0,1,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C,17754,,Goldschmidt,0
345,0,2,"Mitchell, Mr. Henry Michael",male,70,0,0,C.A. 24580,10.5,,S,24580,,Mitchell,0
121,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S,24579,,Wheadon,0
365,0,1,"Millet, Mr. Francis Davis",male,65,0,0,13509,26.55,E38,S,13509,,Millet,0
364,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C,113509,,Ostby,1
255,0,3,"Duane, Mr. Frank",male,65,0,0,336439,7.75,,Q,336439,,Duane,0
415,0,1,"Nicholson, Mr. Arthur Ernest",male,64,0,0,693,26,,S,693,,Nicholson,0
245,0,1,"Fortune, Mr. Mark",male,64,1,4,19950,263,C23 C25 C27,S,19950,,Fortune,5
497,1,3,"Turkula, Mrs. (Hedwig)",female,63,0,0,4134,9.5875,,S,4134,,Turkula,0
635,1,1,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,77.9583,D7,S,13502,,Andrews,1
529,1,2,"Harris, Mr. George",male,62,0,0,S.W./PP 752,10.5,,S,752,,Harris,0
394,0,1,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,C87,S,113514,,Stead,0
622,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62,0,0,113572,80,B28,,113572,,Stone,0
28,0,1,"Wright, Mr. George",male,62,0,0,113807,26.55,,S,113807,,Wright,0
105,0,1,"Sutton, Mr. Frederick",male,61,0,0,36963,32.3208,D50,S,36963,,Sutton,0
153,0,3,"Nysveen, Mr. Johan Hansen",male,61,0,0,345364,6.2375,,S,345364,,Nysveen,0
530,1,1,"Frolicher-Stehli, Mr. Maxmillian",male,60,1,1,13567,79.2,B41,C,13567,,Frolicher-Stehli,2
72,0,2,"Brown, Mr. Thomas William Solomon",male,60,1,1,29750,39,,S,29750,,Brown,2
490,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,0,110813,75.25,D37,C,110813,,Warren,1
362,0,2,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,237442,13.5,,S,237442,,Sjostedt,0
163,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,,S,364500,,Coxon,0
366,0,1,"Kent, Mr. Edward Austin",male,58,0,0,11771,29.7,B37,C,11771,,Kent,0
692,1,1,"Lurette, Miss. Elise",female,58,0,0,PC 17569,146.5208,B80,C,17569,,Lurette,0
142,0,1,"Newell, Mr. Arthur Webster",male,58,0,2,35273,113.275,D48,C,35273,,Newell,2
524,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,S,113783,,Bonnell,0
107,0,2,"Mack, Mrs. (Mary)",female,57,0,0,S.O./P.P. 3,10.5,E77,S,3,,Mack,0
414,0,2,"Kirkland, Rev. Charles Leonard",male,57,0,0,219533,12.35,,Q,219533,,Kirkland,0
604,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56,0,1,11767,83.1583,C50,C,11767,,Potter,1
278,0,1,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,A7,C,17764,,Smith,0
402,0,1,"Smart, Mr. John Montgomery",male,56,0,0,113792,26.55,,S,113792,,Smart,0
129,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,11206,,Meo,0
169,0,1,"Molson, Mr. Harry Markland",male,55,0,0,113787,30.5,C30,S,113787,,Molson,0
656,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,16,,S,248706,,Hewlett,0
551,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54,1,0,PC 17603,59.4,,C,17603,,Rothschild,1
213,0,2,"Downton, Mr. William James",male,54,0,0,28403,26,,S,28403,,Downton,0
125,0,2,"Moraweck, Dr. Ernest",male,54,0,0,29011,14,,S,29011,,Moraweck,0
465,1,2,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,54,1,3,29105,23,,S,29105,,Hocking,4
275,0,1,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,D26,S,35281,,White,1
339,0,2,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,26,,S,244252,,Carter,1
444,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52,1,1,12749,93.5,B69,S,12749,,Hays,2
388,0,1,"Taussig, Mr. Emil",male,52,1,1,110413,79.65,E67,S,110413,,Taussig,2
642,1,1,"Peuchen, Major. Arthur Godfrey",male,52,0,0,113786,30.5,C104,S,113786,,Peuchen,0
313,0,2,"Chapman, Mr. Charles Henry",male,52,0,0,248731,13.5,,S,248731,,Chapman,0
212,0,2,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,,S,1166,,Bateman,0
493,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51,1,0,13502,77.9583,D11,S,13502,,Hogeboom,1
347,0,1,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,,C,17597,,Williams,1
159,0,3,"Green, Mr. George Henry",male,51,0,0,21440,8.05,,S,21440,,Green,0
458,1,1,"Daly, Mr. Peter Denis ",male,51,0,0,113055,26.55,E17,S,113055,,Daly,0
311,0,3,"Widegren, Mr. Carl/Charles Peter",male,51,0,0,347064,7.75,,S,347064,,Widegren,0
237,0,3,"Lundahl, Mr. Johan Svensson",male,51,0,0,347743,7.0542,,S,347743,,Lundahl,0
194,0,3,"Rouse, Mr. Richard Henry",male,50,0,0,A/5 3594,8.05,,S,3594,,Rouse,0
1,0,1,"Silvey, Mr. William Baird",male,50,1,N,13507,55.9,E44,S,13507,,Silvey,1
486,1,2,"Toomey, Miss. Ellen",female,50,0,0,F.C.C. 13531,10.5,,S,13531,,Toomey,0
554,1,2,"Ridsdale, Miss. Lucy",female,50,0,0,W./C. 14258,10.5,,S,14258,,Ridsdale,0
277,0,1,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,28.7125,C49,C,17595,,Isham,0
538,1,1,"Frauenthal, Dr. Henry William",male,50,2,0,PC 17611,133.65,,S,17611,,Frauenthal,2
242,0,1,"Douglas, Mr. Walter Donald",male,50,1,0,PC 17761,106.425,C86,C,17761,,Douglas,1
664,1,2,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,230433,26,,S,230433,,Parrish,1
145,0,2,"Hodges, Mr. Henry Price",male,50,0,0,250643,13,,S,250643,,Hodges,0
331,0,1,"Thayer, Mr. John Borland",male,49,1,1,17421,110.8833,C68,C,17421,,Thayer,2
602,1,1,"Goldenberg, Mr. Samuel L",male,49,1,0,17453,89.1042,C92,C,17453,,Goldenberg,1
523,1,1,"Leader, Dr. Alice (Farnham)",female,49,0,0,17465,25.9292,D17,S,17465,,Leader,0
442,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49,1,0,PC 17485,56.9292,A20,C,17485,,Duff Gordon,1
102,0,3,"Johnson, Mr. Alfred",male,49,0,0,LINE,0,,S,LINE,,Johnson,0
21,0,3,"Ford, Mrs. Edward (Margaret Ann Watson)",female,48,1,3,W./C. 6608,34.375,,S,6608,,Ford,4
555,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48,1,0,11755,39.6,A16,C,11755,,Duff Gordon,1
574,1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48,0,0,17466,25.9292,D17,S,17466,,Swift,0
570,1,1,"Harper, Mr. Henry Sleeper",male,48,1,0,PC 17572,76.7292,D33,C,17572,,Harper,1
600,1,1,"Anderson, Mr. Harry",male,48,0,0,19952,26.55,E12,S,19952,,Anderson,0
631,1,1,"Taylor, Mr. Elmer Zebley",male,48,1,0,19996,52,C126,S,19996,,Taylor,1
317,0,3,"Jensen, Mr. Niels Peder",male,48,0,0,350047,7.8542,,S,350047,,Jensen,0
138,0,3,"Elsbury, Mr. William James",male,47,0,0,A/5 3902,7.25,,S,3902,,Elsbury,0
14,0,1,"Colley, Mr. Edward Pomeroy",male,47,0,0,5727,25.5875,E58,S,5727,,Colley,0
498,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,11751,52.5542,D35,S,11751,,Beckwith,2
196,0,1,"Walker, Mr. William Anderson",male,47,0,0,36967,34.0208,D46,S,36967,,Walker,0
5,0,1,"Porter, Mr. Walter Chamberlain",male,47,0,N,110465,52,C110,S,110465,,Porter,0
160,0,1,"Gee, Mr. Arthur H",male,47,0,0,111320,38.5,E63,S,111320,,Gee,0
247,0,3,"Vander Cruyssen, Mr. Victor",male,47,0,0,345765,9,,S,345765,,Vander Cruyssen,0
418,0,1,"Guggenheim, Mr. Benjamin",male,46,0,0,PC 17593,79.2,B82 B84,C,17593,,Guggenheim,0
265,0,2,"McKane, Mr. Peter David",male,46,0,0,28403,26,,S,28403,,McKane,0
235,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,2628,,Youseff,0
679,1,3,"Dahl, Mr. Karl Edwart",male,45,0,0,7598,8.05,,S,7598,,Dahl,0
451,1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45,1,1,F.C.C. 13529,26.25,,S,13529,,Hart,2
636,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45,1,1,36928,164.8667,,S,36928,,Wick,2
610,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,111428,26.55,,S,111428,,Romaine,0
3,0,1,"Butt, Major. Archibald Willingham",male,45,0,N,113050,26.55,B38,S,113050,,Butt,0
12,0,1,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,35.5,T,S,113784,,Blackwell,0
616,1,2,"Kelly, Mrs. Florence ""Fannie""",female,45,0,0,223596,13.5,,S,223596,,Kelly,0
238,0,3,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,347073,7.75,,S,347073,,Lindblom,0
398,0,1,"Minahan, Dr. William Edward",male,44,2,0,19928,90,C78,Q,19928,,Minahan,2
176,0,2,"Hold, Mr. Stephen",male,44,1,0,26707,26,,S,26707,,Hold,1
455,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44,0,1,111361,57.9792,B18,C,111361,,Hippach,1
259,0,3,"Kelly, Mr. James",male,44,0,0,363592,8.05,,S,363592,,Kelly,0
283,0,3,"Torber, Mr. Ernst William",male,44,0,0,364511,8.05,,S,364511,,Torber,0
32,0,3,"Cribb, Mr. John Hatfield",male,44,0,1,371362,16.1,,S,371362,,Cribb,1
267,0,3,"Cook, Mr. Jacob",male,43,0,0,A/5 3536,8.05,,S,3536,,Cook,0
31,0,2,"Hart, Mr. Benjamin",male,43,1,1,F.C.C. 13529,26.25,,S,13529,,Hart,2
710,1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43,0,1,24160,211.3375,B3,S,24160,,Robert,1
580,1,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42,1,0,SC/AH 3085,26,,S,3085,,Louch,1
408,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,,S,4579,,Olsen,1
433,0,3,"Abbing, Mr. Anthony",male,42,0,0,C.A. 5547,7.55,,S,5547,,Abbing,0
711,1,1,"Calderhead, Mr. Edward Pennington",male,42,0,0,PC 17476,26.2875,E24,S,17476,,Calderhead,0
581,1,1,"Bidois, Miss. Rosalie",female,42,0,0,PC 17757,227.525,,C,17757,,Bidois,0
127,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S,113789,,Holverson,1
499,1,2,"Bystrom, Mrs. (Karolina)",female,42,0,0,236852,13,,S,236852,,Bystrom,0
655,1,2,"Hosono, Mr. Masabumi",male,42,0,0,237798,13,,S,237798,,Hosono,0
130,0,3,"Dimic, Mr. Jovan",male,42,0,0,315088,8.6625,,S,315088,,Dimic,0
108,0,3,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42,0,0,348121,7.65,F G63,S,348121,,Humblen,0
